"station_id","name","lat","lon","capacity","last_updated"
"5dfab137-f65a-41c0-99ef-d58f29a735b2","Reston Town Center Metro South",38.9523,-77.361466,19,2024-12-04 10:13:44
"066fd95e-0d37-4eea-a027-88c04277bb9d","7th & Monroe St NE",38.9322425815551,-76.9961330294609,15,2024-12-04 10:13:44
"0826345e-1f3f-11e7-bf6b-3863bb334450","Spring Hill Metro",38.929261,-77.240654,15,2024-12-04 10:13:44
"08254dee-1f3f-11e7-bf6b-3863bb334450","S Arlington Mill Dr & Campbell Ave",38.84232,-77.089555,15,2024-12-04 10:13:44
"cdeeb133-ccd7-418f-a8d7-0b5c5380a8ae","N Howard St & Taney Ave",38.815842,-77.110014,15,2024-12-04 10:13:44
"082623bf-1f3f-11e7-bf6b-3863bb334450","17th St & Independence Ave SW",38.888097,-77.038325,19,2024-12-04 10:13:44
"082520aa-1f3f-11e7-bf6b-3863bb334450","Virginia Square Metro / Monroe St & 9th St N",38.882788,-77.103148,19,2024-12-04 10:13:44
"8bbafd08-edb1-426d-94f4-c7b7d9be34dd","John McCormack Rd NE",38.938889,-76.997226,19,2024-12-04 10:13:44
"0825201c-1f3f-11e7-bf6b-3863bb334450","1st & Washington Hospital Center NW",38.928743,-77.012457,15,2024-12-04 10:13:44
"42ad2bc8-22b5-40f2-8a56-e562e4ecde07","Oglethorpe St & 42nd Ave",38.959361,-76.946361,15,2024-12-04 10:13:44
"febec658-2bcd-473e-8ba8-f84f016da7cd","Reed & Edison",38.83728,-77.060899,11,2024-12-04 10:13:44
"1932168474073292810","16th St & North Carolina Ave NE",38.893062,-76.982464,19,2024-12-04 10:13:44
"1874573898176678104","Blenheim Blvd & North St",38.846972,-77.303349,12,2024-12-04 10:13:44
"08259c89-1f3f-11e7-bf6b-3863bb334450","47th & Elm St",38.982456,-77.091991,15,2024-12-04 10:13:44
"0825ff8d-1f3f-11e7-bf6b-3863bb334450","Langston Blvd & N Kirkwood Rd",38.895377,-77.09713,15,2024-12-04 10:13:44
"08261e7a-1f3f-11e7-bf6b-3863bb334450","2nd St & Massachusetts Ave NE",38.894972,-77.003135,23,2024-12-04 10:13:44
"082595a1-1f3f-11e7-bf6b-3863bb334450","Monroe St & Monroe Pl",39.083673,-77.149162,15,2024-12-04 10:13:44
